SPX (S&P 500 INDEX),2684.79,+2.17,
Dec 28 2017 @ 11:12 ET,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
18 Dec 1325.00 (SPX1821L1325),1077.7,0.0,1338.7,1349.1,0,1,18 Dec 1325.00 (SPX1821X1325),3.7,0.0,1.3,2.95,0,1103,
18 Dec 1350.00 (SPX1821L1350),1056.7,0.0,1314.5,1324.8,0,5,18 Dec 1350.00 (SPX1821X1350),4.0,0.0,1.55,3.2,0,3267,
18 Dec 1375.00 (SPX1821L1375),1034.2,0.0,1290.3,1300.6,0,6,18 Dec 1375.00 (SPX1821X1375),5.1,0.0,1.85,3.9,0,1399,
18 Dec 1400.00 (SPX1821L1400),1274.15,0.0,1266.1,1276.3,0,12,18 Dec 1400.00 (SPX1821X1400),3.6,0.0,2.15,4.2,0,11869,
18 Dec 1425.00 (SPX1821L1425),0.0,0.0,1242.0,1252.2,0,0,18 Dec 1425.00 (SPX1821X1425),5.1,0.0,2.5,4.5,0,618,
18 Dec 1450.00 (SPX1821L1450),0.0,0.0,1217.8,1228.0,0,0,18 Dec 1450.00 (SPX1821X1450),3.8,0.0,2.85,4.9,0,2356,
18 Dec 1475.00 (SPX1821L1475),939.7,0.0,1193.7,1203.9,0,1,18 Dec 1475.00 (SPX1821X1475),6.25,0.0,3.2,5.0,0,2480,
18 Dec 1500.00 (SPX1821L1500),959.9,0.0,1169.7,1179.7,0,22,18 Dec 1500.00 (SPX1821X1500),4.0,0.0,3.7,5.0,0,15562,
18 Dec 1525.00 (SPX1821L1525),389.15,0.0,1145.6,1155.7,0,1,18 Dec 1525.00 (SPX1821X1525),7.7,0.0,4.1,6.2,0,5879,
18 Dec 1550.00 (SPX1821L1550),561.3,0.0,1121.7,1131.7,0,1,18 Dec 1550.00 (SPX1821X1550),5.95,0.0,4.6,6.6,0,1803,
18 Dec 1575.00 (SPX1821L1575),0.0,0.0,1097.7,1107.6,0,0,18 Dec 1575.00 (SPX1821X1575),6.6,0.0,5.1,7.2,0,691,
18 Dec 1600.00 (SPX1821L1600),1080.75,0.0,1073.8,1083.6,0,77,18 Dec 1600.00 (SPX1821X1600),6.1,0.0,5.6,7.7,0,31839,
18 Dec 1625.00 (SPX1821L1625),594.75,0.0,1049.8,1059.7,0,2,18 Dec 1625.00 (SPX1821X1625),8.1,0.0,6.3,8.3,0,1032,
18 Dec 1650.00 (SPX1821L1650),933.0,0.0,1026.1,1035.8,0,11,18 Dec 1650.00 (SPX1821X1650),7.5,0.0,6.9,9.0,0,7399,
